"","race_grouping","aggregate_sentence_length"
"329","Indigenous",731
"330","Indigenous",831
"331","Non Indigenous",1134
"332","Non Indigenous",1125
"333","Non Indigenous",5478
"334","Non Indigenous",1982
"335","Indigenous",914
"336","Non Indigenous",1706
"337","Non Indigenous",1431
"338","Non Indigenous",1797
"339","Non Indigenous",1475
"340","Non Indigenous",1277
"341","Non Indigenous",2512
"342","Non Indigenous",794
"343","Non Indigenous",2491
"344","Non Indigenous",1568
"345","Non Indigenous",730
"346","Non Indigenous",1277
"347","Non Indigenous",1157
"348","Non Indigenous",1979
"349","Non Indigenous",731
"350","Non Indigenous",3287
"351","Non Indigenous",1984
"352","Non Indigenous",3634
"353","Non Indigenous",1217
"354","Non Indigenous",1186
"355","Indigenous",943
"356","Non Indigenous",1096
"357","Non Indigenous",3651
"358","Non Indigenous",4336
"359","Non Indigenous",1948
"360","Non Indigenous",731
"361","Non Indigenous",2040
"362","Non Indigenous",3394
"363","Non Indigenous",960
"364","Non Indigenous",914
"365","Non Indigenous",1247
"366","Non Indigenous",1916
"367","Non Indigenous",3287
"368","Indigenous",2281
"369","Non Indigenous",743
"370","Non Indigenous",3637
"371","Non Indigenous",731
"372","Non Indigenous",1095
"373","Non Indigenous",7524
"374","Non Indigenous",12428
"375","Non Indigenous",5753
"376","Non Indigenous",1642
"377","Non Indigenous",1826
"378","Non Indigenous",1948
"379","Non Indigenous",1814
"380","Indigenous",1095
"381","Non Indigenous",1096
"382","Indigenous",2191
"383","Non Indigenous",1461
"384","Non Indigenous",731
"385","Non Indigenous",6697
"386","Non Indigenous",1645
"387","Indigenous",915
"388","Non Indigenous",731
"389","Non Indigenous",1193
"390","Indigenous",1887
"391","Non Indigenous",2008
"392","Non Indigenous",1826
"393","Non Indigenous",2404
"394","Non Indigenous",1233
"395","Non Indigenous",741
"396","Non Indigenous",1867
"397","Non Indigenous",1765
"398","Non Indigenous",867
"399","Indigenous",1202
"400","Non Indigenous",731
"401","Indigenous",760
"402","Non Indigenous",2521
"403","Non Indigenous",2939
"404","Non Indigenous",3652
"405","Indigenous",1663
"406","Non Indigenous",2566
"407","Non Indigenous",865
"408","Non Indigenous",1412
"409","Non Indigenous",1386
"410","Indigenous",1685
"411","Non Indigenous",731
"412","Non Indigenous",2292
"413","Indigenous",4393
"414","Indigenous",793
"415","Non Indigenous",1096
"416","Non Indigenous",1096
"417","Non Indigenous",883
"418","Non Indigenous",1104
"419","Indigenous",960
"420","Non Indigenous",731
"421","Non Indigenous",1491
"422","Non Indigenous",1096
"423","Non Indigenous",911
"424","Non Indigenous",742
"425","Non Indigenous",1096
"426","Indigenous",2222
"427","Non Indigenous",1948
"428","Indigenous",735
"429","Non Indigenous",2769
"430","Non Indigenous",1328
"431","Non Indigenous",3043
"432","Indigenous",737
"433","Non Indigenous",7853
"434","Non Indigenous",1549
"435","Indigenous",819
"436","Indigenous",2922
"437","Non Indigenous",1096
"438","Non Indigenous",1858
"439","Non Indigenous",2458
"440","Non Indigenous",1826
"441","Non Indigenous",1035
"442","Indigenous",1150
"443","Indigenous",4566
"444","Non Indigenous",3514
"445","Non Indigenous",14222
"446","Non Indigenous",822
"447","Non Indigenous",2192
"448","Non Indigenous",731
"449","Non Indigenous",1386
"450","Non Indigenous",730
"451","Non Indigenous",730
"452","Non Indigenous",912
"453","Non Indigenous",1826
"454","Indigenous",943
"455","Non Indigenous",1461
"456","Non Indigenous",823
"457","Non Indigenous",852
"458","Non Indigenous",1280
"459","Non Indigenous",730
"460","Non Indigenous",2616
"461","Non Indigenous",3287
"462","Non Indigenous",973
"463","Non Indigenous",2922
"464","Indigenous",4171
"465","Non Indigenous",731
"466","Non Indigenous",799
"467","Non Indigenous",780
"468","Indigenous",3653
"469","Non Indigenous",2358
"470","Indigenous",1517
"471","Indigenous",1979
"472","Non Indigenous",730
"473","Non Indigenous",3172
"474","Non Indigenous",1019
"475","Indigenous",731
"476","Indigenous",1461
"477","Non Indigenous",2357
"478","Indigenous",1061
"479","Non Indigenous",1218
"480","Non Indigenous",2373
"481","Non Indigenous",730
"482","Indigenous",730
"483","Indigenous",1458
"484","Non Indigenous",1068
"485","Non Indigenous",1096
"486","Non Indigenous",3681
"487","Indigenous",837
"488","Non Indigenous",732
"489","Indigenous",1219
"490","Non Indigenous",866
"491","Indigenous",1947
"492","Non Indigenous",7305
"493","Indigenous",1188
"494","Indigenous",1714
"495","Non Indigenous",1096
"496","Indigenous",6634
"497","Non Indigenous",911
"498","Non Indigenous",1198
"499","Non Indigenous",1642
"500","Non Indigenous",1461
"501","Non Indigenous",2010
"502","Non Indigenous",1277
"503","Indigenous",2077
"504","Non Indigenous",1654
"505","Non Indigenous",740
"506","Non Indigenous",1096
"507","Non Indigenous",4304
"508","Indigenous",943
"509","Non Indigenous",1187
"510","Non Indigenous",2303
"511","Non Indigenous",2860
"512","Non Indigenous",2344
"513","Indigenous",1095
"514","Non Indigenous",2922
"515","Non Indigenous",1277
"516","Non Indigenous",2786
"517","Indigenous",2556
"518","Non Indigenous",2532
"519","Non Indigenous",1096
"520","Non Indigenous",2451
"521","Non Indigenous",2928
"522","Non Indigenous",904
"523","Non Indigenous",1165
"524","Indigenous",1064
"525","Non Indigenous",1523
"526","Non Indigenous",6574
"527","Non Indigenous",731
"528","Non Indigenous",1645
"529","Indigenous",1217
"530","Non Indigenous",2191
"531","Non Indigenous",926
"532","Non Indigenous",2404
"533","Non Indigenous",4475
"534","Indigenous",730
"535","Non Indigenous",1126
"536","Non Indigenous",862
"537","Non Indigenous",1218
"538","Non Indigenous",898
"539","Non Indigenous",731
"540","Non Indigenous",1096
"541","Indigenous",761
"542","Non Indigenous",1190
"543","Non Indigenous",1461
"544","Non Indigenous",1197
"545","Non Indigenous",8741
"546","Non Indigenous",762
"547","Non Indigenous",1095
"548","Non Indigenous",1095
"549","Non Indigenous",912
"550","Indigenous",3197
"551","Non Indigenous",1582
"552","Non Indigenous",862
"553","Non Indigenous",1870
"554","Non Indigenous",2799
"555","Non Indigenous",1066
"556","Non Indigenous",1357
"557","Indigenous",1156
"558","Non Indigenous",791
"559","Non Indigenous",1645
"560","Non Indigenous",2922
"561","Non Indigenous",1506
"562","Non Indigenous",3131
"563","Non Indigenous",4018
"564","Non Indigenous",1045
"565","Non Indigenous",5479
"566","Non Indigenous",730
"567","Non Indigenous",2830
"568","Non Indigenous",1126
"569","Indigenous",4017
"570","Non Indigenous",944
"571","Indigenous",1278
"572","Non Indigenous",1491
"573","Indigenous",1308
"574","Indigenous",731
"575","Non Indigenous",1056
"576","Non Indigenous",1280
"577","Non Indigenous",13229
"578","Non Indigenous",1096
"579","Non Indigenous",731
"580","Non Indigenous",1369
"581","Indigenous",762
"582","Non Indigenous",2183
"583","Indigenous",1461
"584","Non Indigenous",18236
"585","Non Indigenous",3287
"586","Non Indigenous",1977
"587","Non Indigenous",851
"588","Non Indigenous",776
"589","Non Indigenous",1035
"590","Non Indigenous",1887
"591","Non Indigenous",3165
"592","Indigenous",1706
"593","Non Indigenous",802
"594","Indigenous",1095
"595","Non Indigenous",2557
"596","Indigenous",823
"597","Indigenous",823
"598","Non Indigenous",1096
"599","Indigenous",1142
"600","Non Indigenous",4383
"601","Indigenous",4322
"602","Non Indigenous",2172
"603","Non Indigenous",892
"604","Non Indigenous",1278
"605","Non Indigenous",1827
"606","Non Indigenous",1292
"607","Non Indigenous",2191
"608","Non Indigenous",956
"609","Indigenous",924
"610","Non Indigenous",734
"611","Non Indigenous",973
"612","Non Indigenous",1461
"613","Non Indigenous",1095
"614","Indigenous",1317
"615","Non Indigenous",1826
"616","Non Indigenous",830
"617","Indigenous",745
"618","Indigenous",731
"619","Non Indigenous",1350
"620","Non Indigenous",2571
"621","Non Indigenous",853
"622","Non Indigenous",1849
"623","Non Indigenous",6758
"624","Non Indigenous",1461
"625","Non Indigenous",1372
"626","Non Indigenous",1948
"627","Non Indigenous",891
"628","Non Indigenous",3898
"629","Non Indigenous",1461
"630","Indigenous",1780
"631","Indigenous",2100
"632","Non Indigenous",1546
"633","Indigenous",1096
"634","Non Indigenous",2982
"635","Non Indigenous",792
"636","Non Indigenous",3799
"637","Non Indigenous",730
"638","Indigenous",974
"639","Non Indigenous",1279
"640","Indigenous",1281
"641","Non Indigenous",2526
"642","Indigenous",2532
"643","Non Indigenous",1096
"644","Indigenous",802
"645","Indigenous",1067
"646","Non Indigenous",1096
"647","Indigenous",1096
"648","Non Indigenous",1461
"649","Non Indigenous",2928
"650","Non Indigenous",3075
"651","Indigenous",2771
"652","Non Indigenous",3287
"653","Non Indigenous",1127
"654","Non Indigenous",1324
"655","Non Indigenous",852
"656","Non Indigenous",2138
"657","Non Indigenous",730
"658","Indigenous",740
"659","Non Indigenous",1669
"660","Non Indigenous",1447
"661","Non Indigenous",1157
"662","Non Indigenous",2582
"663","Indigenous",3106
"664","Non Indigenous",3074
"665","Non Indigenous",4017
"666","Non Indigenous",730
"667","Indigenous",1918
"668","Indigenous",731
"669","Non Indigenous",3865
"670","Indigenous",859
"671","Non Indigenous",1341
"672","Indigenous",731
"673","Non Indigenous",1645
"674","Indigenous",1706
"675","Non Indigenous",3407
"676","Indigenous",1020
"677","Non Indigenous",1096
"678","Non Indigenous",852
"679","Non Indigenous",730
"680","Indigenous",1369
"681","Non Indigenous",912
"682","Non Indigenous",1095
"683","Non Indigenous",3652
"684","Non Indigenous",731
"685","Indigenous",2192
"686","Non Indigenous",1156
"687","Non Indigenous",2194
"688","Non Indigenous",2372
"689","Non Indigenous",860
"690","Indigenous",1141
"691","Non Indigenous",2495
"692","Non Indigenous",1229
"693","Indigenous",1172
"694","Non Indigenous",3271
"695","Non Indigenous",2220
"696","Indigenous",790
"697","Non Indigenous",1095
"698","Non Indigenous",3939
"699","Non Indigenous",1736
"700","Indigenous",1096
"701","Non Indigenous",1461
"702","Indigenous",2283
"703","Non Indigenous",870
"704","Non Indigenous",1358
"705","Non Indigenous",1095
"706","Indigenous",1548
"707","Non Indigenous",11539
"708","Indigenous",5479
"709","Non Indigenous",1917
"710","Non Indigenous",2710
"711","Non Indigenous",734
"712","Non Indigenous",1096
"713","Indigenous",998
"714","Non Indigenous",954
"715","Non Indigenous",1461
"716","Non Indigenous",1461
"717","Non Indigenous",4018
"718","Indigenous",1826
"719","Indigenous",730
"720","Non Indigenous",731
"721","Indigenous",755
"722","Non Indigenous",762
"723","Non Indigenous",2009
"724","Non Indigenous",3104
"725","Non Indigenous",1036
"726","Non Indigenous",1767
"727","Indigenous",942
"728","Indigenous",1104
"729","Non Indigenous",1279
"730","Non Indigenous",982
"731","Indigenous",1188
"732","Indigenous",2669
"733","Non Indigenous",1583
"734","Non Indigenous",731
"735","Non Indigenous",1461
"736","Indigenous",6500
"737","Non Indigenous",3536
"738","Non Indigenous",4748
"739","Indigenous",10583
"740","Non Indigenous",850
"741","Non Indigenous",730
"742","Indigenous",2922
"743","Indigenous",1827
"744","Non Indigenous",1339
"745","Non Indigenous",1188
"746","Indigenous",913
"747","Non Indigenous",914
"748","Indigenous",1099
"749","Indigenous",1147
"750","Non Indigenous",1096
"751","Non Indigenous",1034
"752","Indigenous",912
"753","Non Indigenous",1461
"754","Non Indigenous",836
"755","Non Indigenous",734
"756","Non Indigenous",777
"757","Non Indigenous",731
"758","Indigenous",1399
"759","Indigenous",1126
"760","Non Indigenous",730
"761","Non Indigenous",4018
"762","Non Indigenous",914
"763","Non Indigenous",1827
"764","Non Indigenous",1279
"765","Non Indigenous",1126
"766","Non Indigenous",1157
"767","Indigenous",730
"768","Indigenous",1461
"769","Non Indigenous",2922
"770","Non Indigenous",745
"771","Non Indigenous",2227
"772","Non Indigenous",1614
"773","Non Indigenous",730
"774","Non Indigenous",911
"775","Indigenous",731
"776","Non Indigenous",730
"777","Non Indigenous",1950
"778","Non Indigenous",731
"779","Non Indigenous",2831
"780","Non Indigenous",2869
"781","Non Indigenous",1096
"782","Indigenous",730
"783","Non Indigenous",3805
"784","Indigenous",5113
"785","Non Indigenous",2434
"786","Non Indigenous",867
"787","Non Indigenous",775
"788","Non Indigenous",1476
"789","Non Indigenous",990
"790","Non Indigenous",4748
"791","Non Indigenous",1553
"792","Non Indigenous",3493
"793","Indigenous",2344
"794","Indigenous",2166
"795","Non Indigenous",2130
"796","Non Indigenous",1423
"797","Non Indigenous",1034
"798","Non Indigenous",1096
"799","Non Indigenous",911
"800","Non Indigenous",1277
"801","Non Indigenous",2374
"802","Non Indigenous",1892
"803","Non Indigenous",975
"804","Non Indigenous",1277
"805","Non Indigenous",1369
"806","Non Indigenous",981
"807","Indigenous",1095
"808","Non Indigenous",730
"809","Non Indigenous",3652
"810","Non Indigenous",2192
"811","Non Indigenous",978
"812","Non Indigenous",1826
"813","Non Indigenous",8401
"814","Non Indigenous",2618
"815","Indigenous",2192
"816","Non Indigenous",730
"817","Non Indigenous",2616
"818","Non Indigenous",1461
"819","Non Indigenous",2379
"820","Indigenous",1461
"821","Non Indigenous",2010
"822","Indigenous",2069
"823","Non Indigenous",731
"824","Indigenous",1461
"825","Non Indigenous",1612
"826","Indigenous",1216
"827","Non Indigenous",1413
"828","Non Indigenous",1067
"829","Non Indigenous",1826
"830","Non Indigenous",1379
"831","Non Indigenous",2404
"832","Non Indigenous",3470
"833","Indigenous",1116
"834","Non Indigenous",1220
"835","Non Indigenous",2376
"836","Non Indigenous",1642
"837","Indigenous",731
"838","Indigenous",926
"839","Non Indigenous",3568
"840","Non Indigenous",730
"841","Indigenous",912
"842","Indigenous",1856
"843","Indigenous",730
"844","Non Indigenous",2252
"845","Non Indigenous",730
"846","Non Indigenous",1082
"847","Non Indigenous",731
"848","Indigenous",1795
"849","Non Indigenous",1415
"850","Non Indigenous",883
"851","Non Indigenous",731
"852","Indigenous",2376
"853","Non Indigenous",1096
"854","Non Indigenous",730
"855","Indigenous",835
"856","Indigenous",2883
"857","Non Indigenous",933
"858","Indigenous",2348
"859","Non Indigenous",1826
"860","Indigenous",941
"861","Indigenous",731
"862","Non Indigenous",1710
"863","Indigenous",2967
"864","Non Indigenous",912
"865","Non Indigenous",1461
"866","Non Indigenous",2557
"867","Non Indigenous",2066
"868","Non Indigenous",4930
"869","Indigenous",1064
"870","Non Indigenous",4139
"871","Non Indigenous",730
"872","Non Indigenous",2816
"873","Indigenous",3044
"874","Non Indigenous",1384
"875","Non Indigenous",2191
"876","Non Indigenous",820
"877","Non Indigenous",1172
"878","Non Indigenous",1096
"879","Non Indigenous",1004
"880","Non Indigenous",3653
"881","Indigenous",1515
"882","Non Indigenous",731
"883","Non Indigenous",4018
"884","Indigenous",1096
"885","Non Indigenous",11507
"886","Non Indigenous",3907
"887","Indigenous",1826
"888","Indigenous",1185
"889","Non Indigenous",1643
"890","Non Indigenous",1461
"891","Indigenous",1644
"892","Non Indigenous",1218
"893","Non Indigenous",1095
"894","Non Indigenous",1415
"895","Non Indigenous",1158
"896","Non Indigenous",2114
"897","Non Indigenous",1014
"898","Indigenous",1629
"899","Non Indigenous",731
"900","Non Indigenous",1736
"901","Non Indigenous",2908
"902","Indigenous",1009
"903","Non Indigenous",1005
"904","Indigenous",731
"905","Non Indigenous",1034
"906","Non Indigenous",6940
"907","Indigenous",4567
"908","Non Indigenous",3287
"909","Non Indigenous",12811
"910","Non Indigenous",1066
"911","Non Indigenous",1277
"912","Non Indigenous",1827
"913","Indigenous",738
"914","Non Indigenous",1887
"915","Indigenous",1990
"916","Non Indigenous",730
"917","Non Indigenous",1095
"918","Non Indigenous",2371
"919","Non Indigenous",3098
"920","Non Indigenous",2191
"921","Indigenous",1417
"922","Non Indigenous",1446
"923","Non Indigenous",2058
"924","Non Indigenous",791
"925","Indigenous",1376
"926","Non Indigenous",4135
"927","Non Indigenous",2355
"928","Non Indigenous",1461
"929","Indigenous",975
"930","Non Indigenous",2130
"931","Non Indigenous",761
"932","Non Indigenous",1875
"933","Non Indigenous",3288
"934","Non Indigenous",4748
"935","Indigenous",746
"936","Non Indigenous",1048
"937","Non Indigenous",3574
"938","Non Indigenous",2556
"939","Non Indigenous",2922
"940","Non Indigenous",868
"941","Non Indigenous",1522
"942","Non Indigenous",1552
"943","Indigenous",1826
"944","Indigenous",2253
"945","Non Indigenous",1295
"946","Non Indigenous",1004
"947","Non Indigenous",2314
"948","Non Indigenous",1765
"949","Non Indigenous",732
"950","Non Indigenous",914
"951","Non Indigenous",1096
"952","Non Indigenous",2725
"953","Non Indigenous",1004
"954","Non Indigenous",731
"955","Non Indigenous",1706
"956","Non Indigenous",1387
"957","Indigenous",1782
"958","Non Indigenous",2807
"959","Indigenous",1123
"960","Non Indigenous",1096
"961","Non Indigenous",731
"962","Indigenous",2527
"963","Indigenous",730
"964","Non Indigenous",730
"965","Indigenous",1772
"966","Non Indigenous",3806
"967","Non Indigenous",2083
"968","Non Indigenous",1247
"969","Indigenous",1826
"970","Non Indigenous",2922
"971","Non Indigenous",2007
"972","Non Indigenous",1262
"973","Indigenous",2191
"974","Non Indigenous",1994
"975","Indigenous",1461
"976","Non Indigenous",1826
"977","Non Indigenous",2180
"978","Non Indigenous",730
"979","Non Indigenous",2405
"980","Non Indigenous",2071
"981","Non Indigenous",1780
"982","Indigenous",736
"983","Non Indigenous",3044
"984","Indigenous",914
"985","Indigenous",4630
"986","Non Indigenous",1888
"987","Non Indigenous",2922
"988","Non Indigenous",940
"989","Indigenous",1252
"990","Non Indigenous",901
"991","Non Indigenous",1430
"992","Indigenous",987
"993","Non Indigenous",731
"994","Non Indigenous",1095
"995","Non Indigenous",1550
"996","Non Indigenous",1278
"997","Non Indigenous",5757
"998","Non Indigenous",1644
"999","Indigenous",2192
"1000","Non Indigenous",1233
"1001","Non Indigenous",1826
"1002","Non Indigenous",1095
"1003","Non Indigenous",1796
"1004","Non Indigenous",1826
"1005","Non Indigenous",2771
"1006","Non Indigenous",2010
"1007","Non Indigenous",732
"1008","Non Indigenous",1095
"1009","Non Indigenous",1764
"1010","Non Indigenous",3349
"1011","Non Indigenous",852
"1012","Non Indigenous",859
"1013","Non Indigenous",868
"1014","Non Indigenous",791
"1015","Non Indigenous",2632
"1016","Indigenous",2667
"1017","Non Indigenous",2556
"1018","Non Indigenous",2496
"1019","Indigenous",973
"1020","Indigenous",869
"1021","Non Indigenous",1926
"1022","Non Indigenous",2007
"1023","Non Indigenous",2951
"1024","Non Indigenous",731
"1025","Non Indigenous",1690
"1026","Indigenous",777
"1027","Non Indigenous",2037
"1028","Non Indigenous",1095
"1029","Non Indigenous",3105
"1030","Non Indigenous",730
"1031","Indigenous",2099
"1032","Non Indigenous",1344
"1033","Non Indigenous",750
"1034","Indigenous",1768
"1035","Non Indigenous",730
"1036","Non Indigenous",1369
"1037","Non Indigenous",2557
"1038","Non Indigenous",9547
"1039","Non Indigenous",1521
"1040","Indigenous",2169
"1041","Non Indigenous",1065
"1042","Indigenous",2192
"1043","Non Indigenous",1360
"1044","Non Indigenous",2922
"1045","Indigenous",1785
"1046","Indigenous",3644
"1047","Non Indigenous",730
"1048","Indigenous",1095
"1049","Non Indigenous",2200
"1050","Non Indigenous",913
