0,1,2,3,4,5,6,7,8,9,10,11
130,NORTH AMERICAN,Indigenous,MALE,25,Incarcerated,,DETERMINATE,1163,NEW BRUNSWICK,SINGLE,OTHER
131,WHITE,Non Indigenous,MALE,34,Incarcerated,,DETERMINATE,1018,QUEBEC,COMMON LAW,CATH NON-SPEC
132,NORTH AMERICAN,Indigenous,MALE,34,Incarcerated,,DETERMINATE,927,NOVA SCOTIA,COMMON LAW,CATHOLIC - ROMA
133,WHITE,Non Indigenous,MALE,30,Incarcerated,,INDETERMINATE,0,QUEBEC,COMMON LAW,CATHOLIC - ROMA
134,WHITE,Non Indigenous,MALE,39,Supervised,DP,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,NONE
135,WHITE,Non Indigenous,MALE,60,Incarcerated,,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,UNITED CHURCH
136,METIS,Indigenous,MALE,67,Incarcerated,,INDETERMINATE,0,ONTARIO,UNKNOWN,CATHOLIC - ROMA
137,NORTH AMERICAN,Indigenous,MALE,24,Incarcerated,,DETERMINATE,996,SASKATCHEWAN,SINGLE,
138,CHINESE,Non Indigenous,MALE,27,Supervised,FP,DETERMINATE,2191,BRITISH COLUMBIA,MARRIED,BUDDHIST
139,NORTH AMERICAN,Indigenous,MALE,31,Incarcerated,,INDETERMINATE,0,ONTARIO,SINGLE,CHRISTIAN REFOR
140,NORTH AMERICAN,Indigenous,MALE,28,Incarcerated,,DETERMINATE,1707,ALBERTA,SINGLE,NONE
141,WHITE,Non Indigenous,MALE,43,Supervised,SR,DETERMINATE,1461,ALBERTA,WIDOW(ER),NONE
142,WHITE,Non Indigenous,MALE,32,Incarcerated,,DETERMINATE,921,QUEBEC,COMMON LAW,CATH NON-SPEC
143,NORTH AMERICAN,Indigenous,MALE,34,Incarcerated,,DETERMINATE,731,NEW BRUNSWICK,COMMON LAW,NOT STATED
144,CARIBBEAN,Non Indigenous,FEMALE,27,Supervised,SR,DETERMINATE,731,QUEBEC,COMMON LAW,NONE
145,WHITE,Non Indigenous,MALE,30,Supervised,SR,DETERMINATE,1489,BRITISH COLUMBIA,COMMON LAW,CATH NON-SPEC
146,WHITE,Non Indigenous,MALE,29,Supervised,FP,DETERMINATE,1461,ONTARIO,UNKNOWN,
147,NORTH AMERICAN,Indigenous,MALE,46,Incarcerated,,DETERMINATE,3624,ALBERTA,SINGLE,CATHOLIC - ROMA
148,WHITE,Non Indigenous,MALE,59,Supervised,FP,INDETERMINATE,0,ONTARIO,WIDOW(ER),CATHOLIC - ROMA
149,,Non Indigenous,MALE,52,Supervised,FP,DETERMINATE,1096,ONTARIO,MARRIED,
150,WHITE,Non Indigenous,MALE,47,Incarcerated,,DETERMINATE,1681,BRITISH COLUMBIA,SINGLE,NONE
151,,Non Indigenous,MALE,24,Supervised,SR,DETERMINATE,1133,QUEBEC,SINGLE,MUSLIM
152,WHITE,Non Indigenous,MALE,38,Incarcerated,,INDETERMINATE,0,QUEBEC,COMMON LAW,CHRISTIAN REFOR
153,WHITE,Non Indigenous,MALE,41,Supervised,FP,INDETERMINATE,0,SASKATCHEWAN,SINGLE,BAPTIST
154,NORTH AMERICAN,Indigenous,MALE,39,Incarcerated,,DETERMINATE,1463,MANITOBA,MARRIED,NATIVE SPIRITUA
155,WHITE,Non Indigenous,FEMALE,31,Incarcerated,,DETERMINATE,1184,ALBERTA,MARRIED,RUSSIAN ORTHODO
156,WHITE,Non Indigenous,MALE,35,Supervised,SR,DETERMINATE,1343,ALBERTA,SINGLE,CATH NON-SPEC
157,WHITE,Non Indigenous,MALE,44,Supervised,FP,DETERMINATE,2922,QUEBEC,MARRIED,NONE
158,WHITE,Non Indigenous,MALE,29,Incarcerated,,DETERMINATE,1461,ONTARIO,UNKNOWN,NOT STATED
159,BLACK,Non Indigenous,MALE,33,Incarcerated,,DETERMINATE,2368,ONTARIO,COMMON LAW,CHRI NON SPEC
160,WHITE,Non Indigenous,MALE,50,Supervised,SR,DETERMINATE,776,ONTARIO,SINGLE,NONE
161,WHITE,Non Indigenous,MALE,60,Supervised,LTSO,DETERMINATE,1096,QUEBEC,SINGLE,CATH NON-SPEC
162,BLACK,Non Indigenous,MALE,24,Incarcerated,,DETERMINATE,1052,ONTARIO,UNKNOWN,
163,NORTH AMERICAN,Indigenous,MALE,24,Incarcerated,,DETERMINATE,1657,MANITOBA,COMMON LAW,CHRI NON SPEC
164,WHITE,Non Indigenous,MALE,32,Incarcerated,,DETERMINATE,730,QUEBEC,MARRIED,CATH NON-SPEC
165,WHITE,Non Indigenous,MALE,39,Incarcerated,,DETERMINATE,6393,QUEBEC,SINGLE,ATHEIST
166,LATIN AMERICAN,Non Indigenous,MALE,32,Supervised,FP,DETERMINATE,912,QUEBEC,SINGLE,CATH NON-SPEC
167,WHITE,Non Indigenous,MALE,28,Supervised,FP,DETERMINATE,1918,ALBERTA,SINGLE,CATHOLIC - ROMA
168,WHITE,Non Indigenous,MALE,23,Incarcerated,,DETERMINATE,1096,BRITISH COLUMBIA,SINGLE,WICCA
169,,Non Indigenous,MALE,56,Incarcerated,,DETERMINATE,4718,ONTARIO,UNKNOWN,
170,METIS,Indigenous,FEMALE,38,Incarcerated,,INDETERMINATE,0,QUEBEC,SINGLE,CATHOLIC - ROMA
171,WHITE,Non Indigenous,MALE,81,Supervised,FP,INDETERMINATE,0,MANITOBA,SINGLE,PROT NON-SPEC
172,WHITE,Non Indigenous,MALE,52,Supervised,LTSO,DETERMINATE,1167,BRITISH COLUMBIA,SEPARATED,OTHER
173,WHITE,Non Indigenous,MALE,47,Supervised,DP,INDETERMINATE,0,ONTARIO,SINGLE,PROT NON-SPEC
174,NORTH AMERICAN,Indigenous,MALE,27,Incarcerated,,DETERMINATE,1496,NEW BRUNSWICK,SINGLE,PAGAN
175,WHITE,Non Indigenous,MALE,23,Incarcerated,,DETERMINATE,1544,QUEBEC,COMMON LAW,NONE
176,WHITE,Non Indigenous,MALE,30,Incarcerated,,DETERMINATE,912,ALBERTA,SINGLE,NONE
177,WHITE,Non Indigenous,MALE,24,Incarcerated,,DETERMINATE,2008,QUEBEC,SINGLE,CATH NON-SPEC
178,WHITE,Non Indigenous,MALE,41,Incarcerated,,DETERMINATE,1581,ONTARIO,UNKNOWN,
179,WHITE,Non Indigenous,MALE,25,Supervised,FP,DETERMINATE,732,ALBERTA,COMMON LAW,CATH NON-SPEC
180,,Non Indigenous,MALE,32,Incarcerated,,DETERMINATE,1461,ONTARIO,UNKNOWN,
181,,Non Indigenous,MALE,27,Incarcerated,,DETERMINATE,911,SASKATCHEWAN,SEPARATED,
182,WHITE,Non Indigenous,MALE,46,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,OTHER
183,WHITE,Non Indigenous,MALE,22,Incarcerated,,DETERMINATE,1390,NEW BRUNSWICK,COMMON LAW,NOT STATED
184,WHITE,Non Indigenous,MALE,28,Incarcerated,,DETERMINATE,1464,SASKATCHEWAN,SINGLE,
185,ARAB,Non Indigenous,MALE,37,Incarcerated,,DETERMINATE,6575,ALBERTA,DIVORCED,MUSLIM
186,CHINESE,Non Indigenous,MALE,31,Supervised,SR,DETERMINATE,1962,ALBERTA,SINGLE,NONE
187,NORTH AMERICAN,Indigenous,MALE,34,Incarcerated,,DETERMINATE,976,ONTARIO,SINGLE,NONE
188,BLACK,Non Indigenous,MALE,45,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,DIVORCED,JUDAISM
189,NORTH AMERICAN,Indigenous,MALE,32,Incarcerated,,DETERMINATE,2191,MANITOBA,MARRIED,NONE
190,WHITE,Non Indigenous,MALE,32,Incarcerated,,INDETERMINATE,0,ALBERTA,COMMON LAW,PAGAN
191,WHITE,Non Indigenous,MALE,28,Incarcerated,,DETERMINATE,793,ALBERTA,MARRIED,CATH NON-SPEC
192,NORTH AMERICAN,Indigenous,MALE,54,Incarcerated,,INDETERMINATE,0,ONTARIO,MARRIED,PROT NON-SPEC
193,WHITE,Non Indigenous,MALE,45,Incarcerated,,INDETERMINATE,0,ONTARIO,COMMON LAW,OTHER
194,WHITE,Non Indigenous,MALE,47,Supervised,SR,DETERMINATE,731,QUEBEC,SINGLE,CATH NON-SPEC
195,WHITE,Non Indigenous,FEMALE,83,Supervised,FP,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,JUDAISM
196,,Non Indigenous,MALE,22,Incarcerated,,DETERMINATE,1090,SASKATCHEWAN,COMMON LAW,
197,WHITE,Non Indigenous,MALE,53,Supervised,FP,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,CATH NON-SPEC
198,NORTH AMERICAN,Indigenous,MALE,41,Supervised,DP,DETERMINATE,1483,BRITISH COLUMBIA,COMMON LAW,NONE
199,METIS,Indigenous,MALE,35,Incarcerated,,DETERMINATE,2434,QUEBEC,COMMON LAW,CATHOLIC - GREE
200,MULTIRAC/ETHNIC,Non Indigenous,MALE,21,Supervised,SR,DETERMINATE,1004,NOVA SCOTIA,COMMON LAW,NOT STATED
201,WHITE,Non Indigenous,MALE,62,Incarcerated,,DETERMINATE,1461,QUEBEC,SINGLE,CATH NON-SPEC
202,WHITE,Non Indigenous,MALE,27,Supervised,FP,DETERMINATE,731,QUEBEC,COMMON LAW,CATH NON-SPEC
203,WHITE,Non Indigenous,MALE,31,Supervised,SR,DETERMINATE,1145,ALBERTA,SINGLE,CHRI NON SPEC
204,BLACK,Non Indigenous,MALE,33,Incarcerated,,DETERMINATE,2557,ONTARIO,COMMON LAW,NONE
205,,Non Indigenous,MALE,25,Incarcerated,,DETERMINATE,1166,ONTARIO,UNKNOWN,
206,WHITE,Non Indigenous,MALE,79,Supervised,FP,INDETERMINATE,0,ONTARIO,MARRIED,CATH NON-SPEC
207,ARAB,Non Indigenous,MALE,39,Incarcerated,,DETERMINATE,4383,ALBERTA,MARRIED,
208,NORTH AMERICAN,Indigenous,MALE,69,Incarcerated,,INDETERMINATE,0,ONTARIO,WIDOW(ER),NATIVE SPIRITUA
209,NORTH AMERICAN,Indigenous,FEMALE,44,Incarcerated,,DETERMINATE,1491,SASKATCHEWAN,SINGLE,
210,WHITE,Non Indigenous,MALE,54,Supervised,FP,INDETERMINATE,0,QUEBEC,WIDOW(ER),CATH NON-SPEC
211,NORTH AMERICAN,Indigenous,MALE,48,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,CATH NON-SPEC
212,WHITE,Non Indigenous,MALE,40,Incarcerated,,INDETERMINATE,0,MANITOBA,SINGLE,UNITED CHURCH
213,WHITE,Non Indigenous,MALE,43,Incarcerated,,INDETERMINATE,0,QUEBEC,MARRIED,CATHOLIC - ROMA
214,WHITE,Non Indigenous,MALE,25,Incarcerated,,DETERMINATE,1232,ALBERTA,SINGLE,NONE
215,OTHER,Non Indigenous,MALE,38,Incarcerated,,DETERMINATE,1826,MANITOBA,SINGLE,PENTECOSTAL (4
216,WHITE,Non Indigenous,MALE,52,Supervised,DP,INDETERMINATE,0,ONTARIO,SINGLE,CATHOLIC - ROMA
